property_id,airbnb_property_id,vrbo_property_id,listing_type,bedrooms,bathrooms,accommodates,rating,reviews,title,revenue_ltm,revenue_potential_ltm,occupancy_rate_ltm,average_daily_rate_ltm,days_available_ltm,market_id,market_name,currency,address_match_confidence,lat,lng,submarket
abnb_1271212109284128416,1271212109284128416,4605588,entire_place,2.0,1.0,4.0,4.8,8.0,Casa La María Colonial Zone TwoBedRoom 2B,40349281.55,43293946.37,53.59,317710.88,237.0,84832,Santo Domingo City,cop,Medium,18.4697,-69.8869,141879
abnb_1138327885786638028,1138327885786638028,9952979ha,entire_place,2.0,2.0,4.0,4.6,17.0,Guacanagarix 2-Bedroom Apt @Casaareito,39751324.2,40165308.78,34.81,361375.69,316.0,84832,Santo Domingo City,cop,High,18.4699,-69.8899,141879
abnb_1013731640962038011,1013731640962038011,11640608ha,entire_place,2.0,1.0,4.0,4.4,9.0,"First level, Colonial Zone",39281762.6,39601541.39,57.06,190688.17,361.0,84832,Santo Domingo City,cop,Medium,18.4694,-69.8894,141879
abnb_1314887740314811845,1314887740314811845,4725093,entire_place,2.0,2.0,4.0,4.6,3.0,fantastic with a view in the colonial zone,39017634.2,39661263.75,57.62,187584.79,361.0,84832,Santo Domingo City,cop,Low,18.47234,-69.89019,141879
abnb_1018714138118438647,1018714138118438647,3739797,entire_place,3.0,2.0,5.0,4.4,26.0,"Casa De Leon II- Colonial Zone, DR",37957452.15,38214500.44,46.96,223279.12,362.0,84832,Santo Domingo City,cop,Low,18.47055,-69.88904,141879
abnb_1405834618009200288,1405834618009200288,,entire_place,3.0,3.0,7.0,4.9,80.0,Spacious 3BR/3BA Zona Colonial,37399847.75,42462822.33,59.2,252701.66,250.0,84832,Santo Domingo City,cop,Medium,18.4692,-69.8863,141879
abnb_39673112,39673112,,entire_place,3.0,2.0,16.0,4.8,309.0,Large Colonial House • Central • Spacious • Comfortable • Safe,36284638.95,37097163.94,47.89,213439.06,355.0,84832,Santo Domingo City,cop,Medium,18.4704,-69.8898,141879
abnb_1389844778994038982,1389844778994038982,4517291,entire_place,2.0,2.0,4.0,4.8,13.0,2BR Colonial ·Balcony ·Near Cathedral · YellowKey,35844424.95,42150086.97,34.25,412004.9,254.0,84832,Santo Domingo City,cop,Low,18.469480626,-69.888950186,141879
abnb_1327535554372428008,1327535554372428008,,entire_place,2.0,2.0,4.0,4.0,2.0,Apartamento S.I.S,35477579.95,36251769.64,54.44,181008.05,360.0,84832,Santo Domingo City,cop,High,18.4733,-69.8891,141879
abnb_53808586,53808586,2796556,entire_place,2.0,2.0,3.0,4.6,30.0,Colonial Zone Charm with Sea View – 2BR 2BA,35323505.05,35420021.97,49.58,201848.6,353.0,84832,Santo Domingo City,cop,Medium,18.469,-69.8878,141879
abnb_18073995,18073995,1070748,entire_place,2.0,1.0,4.0,5.0,121.0,Charming Old City Corner House,34982339.2,35971096.53,40.41,448491.53,193.0,84832,Santo Domingo City,cop,Medium,18.4748,-69.8882,141879
abnb_1436185655754798885,1436185655754798885,,entire_place,3.0,2.0,6.0,5.0,19.0,Luxury 3BR Apt w/2 balconies,33199472.5,45886843.51,30.69,535475.36,202.0,84832,Santo Domingo City,cop,Medium,18.4721,-69.8874,141879
abnb_1136312329800133182,1136312329800133182,,entire_place,2.0,1.0,4.0,4.7,26.0,"Cozy apartment facing the sea, Colonial Zone.",32781269.2,41171124.4,47.01,260168.79,268.0,84832,Santo Domingo City,cop,Medium,18.469,-69.886,141879
abnb_1437126707294150223,1437126707294150223,,entire_place,2.0,3.0,4.0,4.3,18.0,Lovely Charm Apartment Zona Colonial,31603696.75,39472595.37,60.26,229012.29,229.0,84832,Santo Domingo City,cop,Low,18.47166,-69.88874,141879
abnb_1406899398196928318,1406899398196928318,4622032,entire_place,2.0,1.0,5.0,4.9,17.0,Casa De Mabel – Zona Colonial Gem,31526659.3,31911773.18,43.04,318451.1,230.0,84832,Santo Domingo City,cop,High,18.4778,-69.8861,141879
abnb_1300444819058640197,1300444819058640197,,entire_place,3.0,2.0,6.0,4.2,5.0,Luxury Colonial Home w/ private terrace & jacuzzi,30253707.15,70708713.43,49.17,512774.69,120.0,84832,Santo Domingo City,cop,Medium,18.4720935,-69.8874046,141879
abnb_1355881557071960306,1355881557071960306,,entire_place,2.0,2.0,6.0,5.0,66.0,Zona Colonial 2BR 2bath Apt,29633739.1,40717263.77,57.09,198884.15,261.0,84832,Santo Domingo City,cop,Medium,18.469,-69.8878,141879
abnb_1338668732323280820,1338668732323280820,,entire_place,2.0,1.0,4.0,,,Elegant 2 bedroom apartment with terrace in Colonial Zone,28749642.65,38613701.17,81.82,245723.42,143.0,84832,Santo Domingo City,cop,Low,18.469277946,-69.884389595,141879
abnb_880646363513331726,880646363513331726,,entire_place,3.0,3.0,6.0,4.8,9.0,Colonial Experience Apt C,28298423.3,28340500.42,34.51,362800.31,226.0,84832,Santo Domingo City,cop,Medium,18.4689,-69.8894,141879
abnb_1397166975067344141,1397166975067344141,,entire_place,3.0,1.5,6.0,4.6,15.0,"Apt w/ A/C,2min f Catedral in Colonial Zone Center",28276412.6,31561436.21,31.67,403948.77,221.0,84832,Santo Domingo City,cop,Medium,18.4694469,-69.8896027,141879
abnb_1395579845996624188,1395579845996624188,,entire_place,3.0,3.0,6.0,,,House: Ross Colonial Zone,28118669.25,83808528.27,56.45,803390.55,62.0,84832,Santo Domingo City,cop,Medium,18.4708,-69.8875,141879
abnb_53670878,53670878,,entire_place,2.0,1.0,6.0,4.7,13.0,Apt in Colonial City (Zona Colonial) ocean view,27531717.25,28191854.83,64.57,141188.3,302.0,84832,Santo Domingo City,cop,Low,18.46948,-69.88542,141879
abnb_1479329418324973744,1479329418324973744,,entire_place,2.0,2.5,4.0,4.7,11.0,Your Oasis in the Colonial City,27476690.5,51847854.65,66.13,335081.58,124.0,84832,Santo Domingo City,cop,Medium,18.4701,-69.8862,141879
abnb_1318860293467139181,1318860293467139181,,entire_place,2.0,2.0,4.0,4.8,17.0,Botticelli Colonial Renaissance,26577920.25,28306090.36,39.5,210935.88,319.0,84832,Santo Domingo City,cop,Low,18.473674176,-69.890357549,141879
